Asia,Afghanistan,IPC,"33,736,000",Sep 2014,"26,023,100",77%,Sep - Oct 2014,"13,204,002",51%,"6,725,074",26%,"4,920,602",19%,"1,173,422",5%,0 ,0%,"6,094,024",23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459598/?iso3=AFG,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Afghanistan\Communication templates\2014\Acute Com_Temp
Asia,Afghanistan,IPC,"33,736,000",Nov 2013,"26,023,100",77%,Nov - Dec 2013,"13,434,426",52%,"5,381,829",21%,"5,137,995",20%,"2,068,849",8%,0 ,0%,"7,206,844",28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459550/?iso3=AFG,
Asia,Bangladesh,IPC,"160,215,739",Nov 2016,"16,618,624",10%,Jun - Nov 2016,"8,215,148",49%,"4,691,883",28%,"2,871,186",17%,"840,406",5%,0 ,0%,"3,711,592",22%,"9,937,641",6%,Jan - Apr 2017,"4,555,888",46%,"3,137,976",32%,"1,738,267",17%,"505,510",5%,0 ,0%,"2,243,777",23%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1072665/?iso3=BGD,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Bangladesh\Communication templates\2016\Acute Com_Temp
Asia,Bangladesh,IPC,"157,722,500",Sep 2014,"10,156,047",6%,Sep - Dec 2014,"1,683,277",17%,"3,577,678",35%,"3,559,086",35%,"1,336,008",13%,0 ,0%,"4,895,094",48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459600/?iso3=BGD,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ASIA\Bangladesh\Communication templates\2014\Acute Com_Temp
West Africa,Benin,Cadre Harmonisé,"11,802,000",Mar 2019,"11,051,386",94%,Mar - May 2019,"9,695,981",88%,"1,323,799",12%,"31,606",0%,0,0%,0 ,0%,"31,606",0%,"11,051,386",94%,Jun - Aug 2019,"10,597,107",96%,"1,240,974",11%,"19,546",0%,0,0%,0 ,0%,"19,546",0%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2023
West Africa,Benin,Cadre Harmonisé,"11,628,541",Nov 2018,"11,628,541",100%,Oct - Dec 2018,"10,291,929",89%,"1,299,731",11%,"36,880",0%,0,0%,0 ,0%,"36,880",0%,"11,628,541",100%, Jun - Aug 2019,"10,324,961",89%,"1,277,343",11%,"26,237",0%,0,0%,0 ,0%,"26,237",0%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2023
West Africa,Benin,Cadre Harmonisé,"11,628,541",Mar 2018,"11,628,541",100%,Mar - May 2018,"10,324,683",89%,"1,295,479",11%,"8,379",0%,0,0%,0 ,0%,"8,379",0%,"11,628,541",100%,Jun - Aug 2018,"10,229,475",88%,"1,368,282",12%,"30,783",0%,0,0%,0 ,0%,"30,783",0%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2018
West Africa,Benin,Cadre Harmonisé,"11,555,615",Oct 2017,"11,555,615",100%,Oct - Dec 2017,"10,124,088",88%,"1,370,869",12%,"51,310",0%,"9,347",0%,0 ,0%,"60,657",1%,"11,555,615",100%, Jun - Aug 2018,"10,262,836",89%,"1,246,058",11%,"45,955",0%,766,0%,0 ,0%,"46,721",0%,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2017
West Africa,Benin,Cadre Harmonisé,"10,868,000",Mar 2017,"10,172,728",94%,Mar - May 2017,"8,973,930",88%,"1,176,534",12%,"22,264",0%,0,0%,0 ,0%,"22,264",0%,"10,172,728",94%,Jun - Aug 2017,"8,993,946",88%,"1,160,231",11%,"18,551",0%,0,0%,0 ,0%,"18,551",0%,,,,,,,,,,,,,,,,http://www.agrhymet.ne/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2017
West Africa,Benin,Cadre Harmonisé,"11,514,091",Nov 2016,"11,165,958",97%,Oct - Dec 2016,"9,749,612",87%,"1,380,486",12%,"35,860",0%,0,0%,0 ,0%,"35,860",0%,"11,165,958",97%, Jun - Aug 2017,"9,745,393",87%,"1,402,032",13%,"18,534",0%,0,0%,0 ,0%,"18,534",0%,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2016
West Africa,Burkina Faso,Cadre Harmonisé,"20,762,186",Mar 2019,"20,762,186",100%,Mar - May 2019,"17,253,046",83%,"3,088,966",15%,"415,037",2%,"5,137",0%,0 ,0%,"420,174",2%,"20,762,186",100%,Jun - Aug 2019,"16,307,099",79%,"3,767,629",18%,"661,919",3%,"25,539",0%,0 ,0%,"687,458",3%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2033
West Africa,Burkina Faso,Cadre Harmonisé,"20,762,186",Nov 2018,"20,762,186",100%,Oct - Dec 2018,"17,139,488",83%,"3,315,651",16%,"307,047",1%,0,0%,0 ,0%,"307,047",1%,"20,762,186",100%,Jun - Aug 2019,"16,245,527",78%,"3,840,406",18%,"651,970",3%,"24,283",0%,0 ,0%,"676,253",3%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2032
West Africa,Burkina Faso,Cadre Harmonisé,"20,762,186",Mar 2018,"20,139,442",97%,Mar - May 2018,"16,935,268",84%,"2,462,324",12%,"661,781",3%,"80,069",0%,0 ,0%,"741,850",4%,"20,139,442",97%,Jun - Aug 2018,"16,513,260",82%,"2,671,867",13%,"864,177",4%,"90,138",0%,0 ,0%,"954,315",5%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2019
West Africa,Burkina Faso,Cadre Harmonisé,"20,139,442",Oct 2017,"20,139,442",100%,Oct - Dec 2017,"18,070,988",90%,"1,935,554",10%,"132,899",1%,0,0%,0 ,0%,"132,899",1%,"20,139,442",100%, Jun - Aug 2018,"16,887,417",84%,"2,631,631",13%,"597,297",3%,"23,097",0%,0 ,0%,"620,394",3%,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2017
West Africa,Burkina Faso,Cadre Harmonisé,"19,530,672",Mar 2017,"19,530,672",100%,Mar - May 2017,"18,494,460",95%,"920,662",5%,"115,549",1%,0,0%,0 ,0%,"115,549",1%,"19,530,672",100%,Jun - Aug 2017,"17,484,647",90%,"1,788,787",9%,"251,685",1%,"5,552",0%,0 ,0%,"257,237",1%,,,,,,,,,,,,,,,,http://www.agrhymet.ne/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2017
West Africa,Burkina Faso,Cadre Harmonisé,"19,530,672",Nov 2016,"19,530,672",100%,Oct - Dec 2016,"18,471,280",95%,"906,129",5%,"153,262",1%,0,0%,0 ,0%,"153,262",1%,"19,530,672",100%, Jun - Aug 2017,"16,870,930",86%,"2,446,812",13%,"212,930",1%,0,0%,0 ,0%,"212,930",1%,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2017
West Africa,Burkina Faso,Cadre Harmonisé,"18,936,011",Nov 2015,"18,936,011",100%,Oct - Dec 2015,"17,170,810",91%,"1,639,612",9%,"125,590",1%,0,0%,0 ,0%,"125,590",1%,"18,936,011",100%,Jun - Aug 2016,"15,253,795",81%,"3,044,510",16%,"615,571",3%,"22,136",0%,0 ,0%,"637,707",3%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates
West Africa,Burkina Faso,Cadre Harmonisé,"18,355,038",Mar 2015,"18,355,038",100%,Mar 2015 ,"17,607,357",96%,"668,765",4%,"78,916",0%,0,0%,0 ,0%,"78,916",0%,"18,355,038",100%,Apr - Sep 2015,"16,782,451",91%,"1,201,597",7%,"337,843",2%,"33,146",0%,0 ,0%,"370,989",2%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates
West Africa,Burkina Faso,Cadre Harmonisé,"18,355,038",Nov 2014,"18,355,038",100%,Oct - Dec 2014,"17,491,366",95%,"674,752",4%,"188,920",1%,0,0%,0 ,0%,"188,920",1%,"18,355,038",100%,Feb - Mar 2015,"17,415,888",95%,"674,752",4%,"255,305",1%,"9,093",0%,0 ,0%,"264,398",1%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates
West Africa,Burkina Faso,Cadre Harmonisé,"18,110,624",Feb 2014,"15,951,347",88%,Feb 2014 ,"12,672,397",79%,"3,278,950",21%,0,0%,0,0%,0 ,0%,0,0%,"15,951,347",88%,Jun 2014 ,"11,566,611",73%,"4,051,251",25%,"333,485",2%,0,0%,0 ,0%,"333,485",2%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates
East and Central Africa,Burundi,IPC,"11,178,588",Aug 2018,"10,950,595",98%,Jul - Sep 2018,"4,851,502",44%,"4,699,418",43%,"1,301,600",12%,"98,076",1%,0 ,0%,"1,399,676",13%,"10,950,595",98%,Oct - Dec 2018,Merged with phase 2,,"9,228,832",84%,"1,721,763",16%,Merged with Phase 3,,0 ,0%,"1,721,763",16%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\NA&ME\Yemen\Communication templates\2017
East and Central Africa,Burundi,IPC,"11,178,588",Mar 2018,"10,950,595",98%,Mar - Apr 2018,"6,228,151",57%,"3,353,620",31%,"1,368,824",12%,0,0%,0 ,0%,"1,368,824",12%,"10,950,595",98%,Apr - May 2018,Merged with phase 2,,"9,280,629",85%,"1,669,966",15%,Merged with Phase 3,,0 ,0%,"1,669,966",15%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1139928/?iso3=BDI,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2018
East and Central Africa,Burundi,IPC,"10,400,938",Jul 2017,"9,758,864",94%,Jul - Sep 2017,"2,877,920",29%,"5,116,037",52%,"1,471,008",15%,"293,900",3%,0 ,0%,"1,764,908",18%,"9,758,864",94%,Oct - Dec 2017,"7,145,554",73%,Merged with Ph 1,,"2,613,310",27%,Merged with Ph 3,,0 ,0%,"2,613,310",27%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1036963/?iso3=BDI,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2017
East and Central Africa,Burundi,IPC,"10,400,938",Apr 2017,"9,758,864",94%,Apr -  May 2017,"3,159,436",32%,"4,033,560",41%,"1,864,751",19%,"701,117",7%,0 ,0%,"2,565,868",26%,"9,758,864",94%,Jun - Jul 2017,"8,235,129",84%,Merged with Ph 1,,"1,523,734",16%,Merged with Ph 3,,0 ,0%,"1,523,734",16%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1026220/?iso3=BDI,
East and Central Africa,Burundi,IPC,"10,114,505",Aug 2016,"8,524,827",84%,Jul - Sep 2016,"2,933,777",33%,"4,130,093",48%,"1,111,708",14%,"349,249",5%,0 ,0%,"1,460,957",17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459664/?iso3=BDI,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2016\Acute Com_Temp
East and Central Africa,Burundi,IPC,"10,114,505",May 2016,"9,351,450",92%,May - Jun 2016,"3,718,556",40%,"3,346,861",36%,"1,740,753",19%,"545,280",6%,0 ,0%,"2,286,033",24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459639/?iso3=BDI,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2016\Acute Com_Temp
East and Central Africa,Burundi,IPC,"9,823,827",Sep 2015,,0%,Sep  - Dec 2015,No population estimates provided,,No population estimates provided,,No population estimates provided,,No population estimates provided,,No population estimates provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459662/?iso3=BDI,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2015
East and Central Africa,Burundi,IPC,"9,823,827",Apr 2015,,0%,Apr - May 2015,No population estimates provided,,No population estimates provided,,No population estimates provided,,No population estimates provided,,No population estimates provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2015
East and Central Africa,Burundi,IPC,"9,530,437",Aug 2014,"8,615,816",90%,Jun - Sep 2014,"2,407,702",28%,"4,904,290",57%,"1,257,352",15%,"46,472",1%,0 ,0%,"1,303,824",15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459592/?iso3=BDI,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\Burundi\Communication templates\2014\Acute Com_Temp
West Africa,Cameroon,Cadre Harmonisé,"25,313,000",Mar 2019,"15,536,472",61%,Mar - May 2019,"11,585,484",75%,"2,881,206",19%,"994,580",6%,"75,202",0%,0 ,0%,"1,069,782",7%,"15,536,472",61%,Jun - Aug 2019,"11,299,566",73%,"3,143,378",20%,"1,046,101",7%,"47,428",0%,0 ,0%,"1,093,529",7%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2036
West Africa,Cape Verde,Cadre Harmonisé,"560,000",Mar 2019,"544,081",97%,Mar - May 2019,"464,472",85%,"71,151",13%,"8,457",2%,0,0%,0 ,0%,"8,457",2%,"544,081",97%,Jun - Aug 2019,"458,714",84%,"76,366",14%,"9,001",2%,0,0%,0 ,0%,"9,001",2%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2021
West Africa,Cape Verde,Cadre Harmonisé,"551,873",Nov 2018,"544,081",99%,Oct - Dec 2018,"459,992",85%,"73,588",14%,"10,501",2%,0,0%,0 ,0%,"10,501",2%,"544,081",99%,Jun - Aug 2019,"452,721",83%,"80,369",15%,"10,991",2%,0,0%,0 ,0%,"10,991",2%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2019
West Africa,Cape Verde,Cadre Harmonisé,"551,873",Mar 2018,"544,126",99%,Mar - May 2018,"415,882",76%,"107,432",20%,"20,641",4%,171,0%,0 ,0%,"20,812",4%,"544,126",99%,Jun - Aug 2018,"415,336",76%,"107,962",20%,"20,772",4%,56,0%,0 ,0%,"20,828",4%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2020
West Africa,Cape Verde,Cadre Harmonisé,"537,663",Oct 2017,"537,661",100%,Oct - Dec 2017,"411,925",77%,"97,251",18%,"27,842",5%,644,0%,0 ,0%,"28,486",5%,"537,661",100%, Jun - Aug 2018,"398,475",74%,"102,500",19%,"35,466",7%,"1,220",0%,0 ,0%,"36,686",7%,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2018
West Africa,Cape Verde,Cadre Harmonisé,"537,663",Mar 2017,"537,663",100%,Mar - May 2017,"465,574",87%,"68,441",13%,"3,648",1%,0,0%,0 ,0%,"3,648",1%,"537,663",100%,Jun - Aug 2017,"465,205",87%,"68,810",13%,"3,648",1%,0,0%,0 ,0%,"3,648",1%,,,,,,,,,,,,,,,,http://www.agrhymet.ne/,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2018
West Africa,Cape Verde,Cadre Harmonisé,"526,993",Nov 2016,"398,593",76%,Oct - Dec 2016,"336,013",84%,"54,519",14%,"8,061",2%,0,0%,0 ,0%,"8,061",2%,"398,593",76%, Jun - Aug 2017,"345,431",87%,"48,559",12%,"4,604",1%,0,0%,0 ,0%,"4,604",1%,,,,,,,,,,,,,,,,,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2018
East and Central Africa,CAR,IPC,"4,826,000",Sep 2019,"4,596,014",95%,Sep 2019 - Apr 2020,"1,251,017",27%,"1,729,594",38%,"1,241,886",27%,"373,418",8%,0 ,0%,"1,615,304",35%,"4,596,014",95%,May - Aug 2020,"879,662",19%,"1,592,981",35%,"1,450,049",32%,"673,217",15%,0 ,0%,"2,123,266",46%,,,,,,,,,,,,,,,,,
East and Central Africa,CAR,IPC,"4,826,000",Jun 2019,"4,391,870",91%,May - Aug 2019,"796,756",18%,"1,786,004",41%,"1,343,336",31%,"465,773",11%,0 ,0%,"1,809,109",41%,"4,684,555",97%,Sep - Oct 2019,"1,158,015",25%,"2,179,592",47%,"1,073,042",23%,"273,906",6%,0 ,0%,"1,346,948",29%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1152084/,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2019
East and Central Africa,CAR,IPC,"4,684,517",Sep 2018,"4,442,612",95%,Aug 2018 ,"702,450",16%,"1,841,199",41%,"1,351,826",30%,"547,137",12%,0 ,0%,"1,898,963",43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1151724/,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2018
East and Central Africa,CAR,IPC,"4,946,113",Mar 2018,"4,759,818",96%,Mar 2018 ,"1,047,650",22%,"2,077,029",44%,"1,150,351",24%,"484,789",10%,0 ,0%,"1,635,140",34%,"4,759,818",96%,Apr - Aug 2018,"868,503",18%,"1,849,990",39%,"1,345,304",28%,"686,869",14%,0 ,0%,"2,032,173",43%,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1133313/?iso3=CAF,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2018
East and Central Africa,CAR,IPC,"5,711,072",Feb 2017,"3,667,906",64%,Feb - May 2017,"1,038,686",28%,"1,519,192",41%,"794,156",22%,"315,872",9%,0 ,0%,"1,110,028",30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1026698/?iso3=CAF,http://www.ipcinfo.org/ipcinfo-detail-forms/ipcinfo-map-detail/en/c/881722/
East and Central Africa,CAR,IPC,"5,053,330",Aug 2016,"4,193,142",83%,Aug - Dec 2016,"2,313,314",55%,Merged with Ph 1,,"1,879,828",45%,Merged with Ph 3,,0 ,0%,"1,879,828",45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459654/?iso3=CAF,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2016\Acute Com_Temp
East and Central Africa,CAR,IPC,"4,953,017",Dec 2015,"4,953,017",100%,Dec 2015 - Jun 2016,"3,235,637",65%,Merged with Ph 1,,"1,034,427",21%,"503,893",10%,0 ,0%,"1,538,320",31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459648/?iso3=CAF,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2015\Acute Com_Temp
East and Central Africa,CAR,IPC,"4,953,017",Apr 2015,"4,953,017",100%,Apr - Nov 2015,"671,265",14%,Merged with Ph 1,,"983,994",20%,"395,277",8%,0 ,0%,"1,379,271",28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459624/?iso3=CAF,
East and Central Africa,CAR,IPC,"4,946,113",Oct 2014,"4,946,113",100%,Nov 2014 - Mar 2015,"3,431,636",69%,Merged with Ph 1,,"972,131",20%,"560,076",11%,0 ,0%,"1,532,207",31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459597/?iso3=CAF,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2014\Acute Com_Temp
East and Central Africa,CAR,IPC,"4,946,113",Apr 2014,"3,743,000",76%,Apr - May 2014,"2,073,000",55%,Merged with Ph 1,,"960,000",26%,"710,000",19%,0 ,0%,"1,670,000",45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/459569/?iso3=CAF,S:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\ECA\CAR\Communication templates\2014\Acute Com_Temp
West Africa,Chad,Cadre Harmonisé,"15,814,000",Mar 2019,"14,340,547",91%,Mar - May 2019,"11,849,217",83%,"2,179,342",15%,"305,460",2%,"6,528",0%,0 ,0%,"311,988",2%,"14,340,547",91%,Jun - Aug 2019,"10,996,129",77%,"2,703,544",19%,"619,139",4%,"21,735",0%,0 ,0%,"640,874",4%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2030
West Africa,Chad,Cadre Harmonisé,"15,353,184",Nov 2018,"14,340,547",93%,Oct - Dec 2018,"12,449,363",87%,"1,702,296",12%,"187,801",1%,"1,087",0%,0 ,0%,"188,888",1%,"14,340,547",93%,Jun - Aug 2019,"11,158,002",78%,"2,663,421",19%,"489,087",3%,"30,036",0%,0 ,0%,"519,123",4%,,,,,,,,,,,,,,,,,T:\IPC_MultiAgency\IPC_Region-Country-Support\Countries_Regions\WA\West Africa\Communication templates\2030
